"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Mets","101","247","11","37","36","3","10.9 %","19.4 %",".196",".344",".304",".384",".500",".372","138","-0.4","11.8","0.7","2.0"
"Astros","97","254","10","46","41","4","9.4 %","20.5 %",".241",".329",".286",".362",".527",".370","136","-0.1","11.5","-0.1","2.0"
"Cardinals","108","269","7","38","37","6","9.7 %","16.0 %",".181",".287",".257",".335",".439",".329","104","1.5","2.9","4.6","1.6"
"White Sox","101","277","10","38","38","2","9.7 %","24.5 %",".211",".339",".277",".354",".488",".352","123","0.3","8.2","-2.0","1.6"
"Dodgers","100","216","17","37","37","2","9.3 %","18.5 %",".300",".218",".242",".321",".542",".353","120","0.7","6.2","1.1","1.4"
"Athletics","90","228","8","38","38","2","11.8 %","19.3 %",".211",".266",".237",".346",".448",".337","114","0.3","4.3","1.4","1.3"
"Diamondbacks","95","234","8","32","31","4","10.7 %","22.6 %",".185",".313",".259",".348",".444",".336","106","0.9","2.4","3.6","1.3"
"Phillies","125","277","14","40","39","9","6.9 %","26.4 %",".239",".293",".251",".303",".490",".325","97","1.9","0.6","2.7","1.2"
"Marlins","88","241","6","31","27","2","10.0 %","20.7 %",".152",".329",".270",".356",".422",".334","108","-0.7","1.7","2.1","1.1"
"Brewers","113","232","11","29","28","7","12.1 %","28.4 %",".201",".293",".236",".338",".437",".330","101","1.3","1.3","2.5","1.1"
"Nationals","112","266","10","36","35","3","7.5 %","24.1 %",".189",".325",".267",".328",".457",".332","101","-0.1","0.3","1.6","1.0"
"Braves","94","213","11","30","28","6","14.6 %","29.1 %",".240",".252",".212",".333",".453",".332","103","1.0","1.6","1.9","1.0"
"Yankees","84","224","12","30","30","2","8.9 %","22.3 %",".233",".257",".238",".313",".470",".329","105","0.6","1.9","-0.4","0.9"
"Cubs","98","224","9","29","28","3","11.2 %","25.0 %",".219",".279",".234",".335",".453",".329","102","-0.1","0.3","1.1","0.8"
"Rays","123","248","7","33","31","7","6.9 %","19.0 %",".187",".278",".247",".319",".434",".316","101","0.6","0.7","-0.9","0.8"
"Indians","108","275","8","39","37","6","11.3 %","26.9 %",".168",".325",".252",".336",".420",".320","94","0.1","-2.1","0.7","0.8"
"Rangers","100","274","11","38","36","2","6.9 %","24.1 %",".174",".349",".287",".350",".462",".345","106","-1.3","0.9","-2.7","0.8"
"Royals","93","224","5","25","22","6","8.9 %","23.7 %",".124",".354",".277",".345",".401",".321","97","-0.3","-1.2","0.6","0.7"
"Angels","97","225","10","25","24","4","11.1 %","23.6 %",".191",".250",".221",".308",".412",".306","93","0.2","-2.1","-0.2","0.6"
"Pirates","106","226","5","27","24","1","9.7 %","22.6 %",".157",".298",".239",".333",".396",".310","92","0.1","-2.5","-0.9","0.4"
"Reds","118","260","10","24","24","1","9.6 %","27.7 %",".169",".287",".229",".312",".398",".305","84","-0.9","-6.6","1.3","0.3"
"Twins","120","272","7","23","22","0","11.4 %","25.0 %",".135",".284",".224",".324",".359",".300","84","-0.3","-5.8","-2.7","0.1"
"Padres","92","223","4","16","16","4","12.1 %","22.9 %",".083",".261",".207",".314",".290",".275","69","0.2","-9.1","2.2","0.0"
"Red Sox","100","207","9","24","24","0","8.7 %","23.7 %",".193",".233",".209",".282",".401",".288","72","-0.6","-8.2","0.3","-0.1"
"Tigers","107","263","6","26","26","1","3.8 %","27.8 %",".122",".343",".260",".295",".382",".289","76","-0.9","-9.3","-1.3","-0.1"
"Orioles","122","256","8","23","22","1","5.5 %","19.1 %",".138",".277",".247",".286",".385",".285","73","0.2","-8.7","-3.0","-0.3"
"Mariners","99","224","6","17","17","9","7.6 %","33.9 %",".127",".244",".176",".246",".302",".239","48","2.2","-12.7","-0.3","-0.5"
"Blue Jays","90","209","6","15","15","2","7.2 %","32.1 %",".164",".229",".175",".244",".339",".249","51","0.1","-13.0","-0.7","-0.6"
"Rockies","103","217","6","19","18","2","7.4 %","27.2 %",".157",".261",".208",".269",".365",".268","51","0.5","-14.7","0.5","-0.7"
"Giants","114","255","5","16","15","3","9.0 %","24.3 %",".091",".236",".190",".263",".280",".238","47","0.9","-17.3","1.6","-0.7"
