"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Angels","45","134","8","32","30","3","10.4 %","23.1 %",".325",".418",".350",".421",".675",".447","186","0.2","15.0","0.0","1.9"
"Rays","56","160","9","31","27","4","3.8 %","18.8 %",".285",".345",".318",".350",".603",".391","150","1.1","11.3","-0.2","1.6"
"Athletics","43","119","7","25","24","1","10.9 %","11.8 %",".298",".321",".327",".403",".625",".421","170","0.3","11.0","-0.1","1.5"
"Astros","65","178","7","26","25","2","10.7 %","21.9 %",".197",".366",".306",".382",".503",".372","138","-0.1","8.4","-0.6","1.4"
"Brewers","51","126","4","17","16","4","7.9 %","27.0 %",".246",".416",".316",".373",".561",".384","136","0.3","6.1","0.8","1.1"
"Reds","48","121","4","20","20","1","6.6 %","21.5 %",".264",".370",".309",".358",".573",".381","133","0.0","5.0","0.4","0.9"
"Indians","46","116","7","16","16","1","6.0 %","27.6 %",".257",".328",".276",".330",".533",".357","120","0.1","3.0","0.7","0.8"
"Braves","42","119","6","16","16","2","11.8 %","24.4 %",".202",".314",".269",".353",".471",".346","113","0.4","2.2","1.0","0.7"
"Cubs","47","110","4","15","15","0","11.8 %","23.6 %",".198",".328",".271",".355",".469",".348","114","0.0","2.0","0.5","0.6"
"Rangers","63","171","9","24","22","5","9.9 %","31.0 %",".230",".308",".243",".322",".474",".334","99","0.3","0.0","-0.5","0.5"
"Dodgers","44","113","7","15","14","1","5.3 %","27.4 %",".260",".284",".250",".301",".510",".334","110","0.3","1.6","0.3","0.5"
"Padres","47","117","7","13","12","2","12.0 %","24.8 %",".222",".234",".222",".328",".444",".322","102","-0.1","0.0","1.0","0.5"
"Phillies","44","113","4","11","11","3","6.2 %","27.4 %",".173",".343",".269",".319",".442",".318","97","0.2","-0.6","1.5","0.4"
"Royals","41","104","3","14","12","3","7.7 %","26.0 %",".170",".354",".277",".330",".447",".328","102","-0.1","0.0","0.2","0.4"
"Rockies","41","108","7","15","15","2","6.5 %","22.2 %",".255",".299",".276",".324",".531",".354","99","0.0","-0.4","0.2","0.3"
"Nationals","45","116","3","13","12","1","10.3 %","17.2 %",".158",".288",".257",".330",".416",".314","92","0.2","-1.2","0.7","0.3"
"Twins","46","125","5","12","12","2","8.0 %","24.8 %",".188",".286",".241",".306",".429",".310","90","0.5","-1.2","0.0","0.3"
"Marlins","44","105","4","13","13","1","3.8 %","19.0 %",".196",".257",".237",".286",".433",".301","88","-0.2","-2.0","0.9","0.2"
"Pirates","43","108","5","13","13","1","5.6 %","24.1 %",".208",".300",".257",".299",".465",".316","94","0.0","-1.0","-0.4","0.2"
"Diamondbacks","42","105","5","11","11","0","6.7 %","23.8 %",".221",".200",".189",".267",".411",".286","76","0.3","-3.5","1.1","0.1"
"Red Sox","45","106","5","16","15","3","5.7 %","24.5 %",".212",".261",".232",".274",".444",".290","77","0.1","-3.4","0.5","0.1"
"Mets","42","112","5","11","11","1","13.4 %","25.9 %",".175",".206",".186",".295",".361",".286","80","-0.6","-3.7","0.5","0.0"
"Giants","47","107","6","15","14","1","7.5 %","28.0 %",".206",".210",".196",".255",".402",".275","69","-0.3","-4.7","0.9","0.0"
"Yankees","39","108","1","6","6","0","5.6 %","25.0 %",".111",".310",".232",".296",".343",".279","72","-0.3","-4.3","0.1","0.0"
"Blue Jays","41","105","1","8","8","3","5.7 %","26.7 %",".091",".314",".232",".276",".323",".260","59","0.5","-5.1","-0.5","-0.2"
"White Sox","46","109","2","6","6","0","7.3 %","22.0 %",".060",".311",".250",".306",".310",".272","68","0.2","-4.3","-1.5","-0.2"
"Mariners","46","100","2","6","6","3","5.0 %","22.0 %",".149",".211",".181",".220",".330",".231","44","0.3","-7.1","-0.7","-0.4"
"Tigers","41","107","1","9","9","0","7.5 %","29.0 %",".111",".269",".192",".252",".303",".242","47","-0.2","-7.8","-0.9","-0.5"
"Cardinals","39","104","2","6","6","2","6.7 %","23.1 %",".085",".221",".181",".245",".266",".227","39","-0.3","-8.9","0.6","-0.5"
"Orioles","57","139","4","11","11","1","3.6 %","27.3 %",".143",".261",".211",".237",".353",".248","51","0.2","-9.1","-1.7","-0.6"
