"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Rays","75","211","13","38","36","2","13.7 %","20.9 %",".298",".352",".315",".408",".613",".420","170","0.5","19.2","-1.0","2.5"
"Blue Jays","100","289","17","45","44","2","9.0 %","20.4 %",".262",".326",".296",".365",".558",".383","142","-0.5","14.9","-1.2","2.3"
"Astros","79","232","11","35","35","1","10.3 %","16.8 %",".255",".306",".289",".362",".544",".375","139","-0.7","10.8","-0.6","1.8"
"Yankees","84","221","10","35","35","2","10.0 %","21.3 %",".224",".324",".281",".362",".505",".365","129","0.3","8.6","1.1","1.7"
"Diamondbacks","88","238","11","40","39","2","12.6 %","19.7 %",".222",".279",".256",".357",".478",".351","116","0.4","5.3","1.9","1.5"
"Braves","98","276","13","34","31","6","9.1 %","23.2 %",".236",".288",".252",".322",".488",".334","103","0.8","2.1","2.8","1.3"
"Rangers","71","200","8","33","31","3","6.0 %","19.0 %",".228",".365",".322",".369",".550",".379","130","-0.1","7.6","-1.7","1.3"
"Padres","85","229","11","31","31","1","6.6 %","27.5 %",".202",".353",".284",".335",".486",".343","113","-0.9","3.1","1.8","1.2"
"Nationals","85","241","10","33","31","2","12.4 %","17.0 %",".203",".270",".252",".361",".455",".346","109","-0.3","2.4","1.6","1.1"
"Rockies","85","224","8","30","28","1","7.1 %","15.6 %",".226",".339",".308",".357",".534",".370","115","-1.2","2.9","1.1","1.1"
"Mets","87","250","8","37","34","2","8.0 %","21.2 %",".178",".329",".276",".343",".453",".337","111","-0.8","2.7","0.4","1.1"
"Athletics","76","192","6","22","19","4","13.5 %","23.4 %",".184",".291",".241",".359",".424",".338","114","0.0","3.3","0.1","1.0"
"Twins","85","230","12","38","38","1","9.6 %","23.9 %",".236",".273",".246",".322",".483",".334","107","-0.2","1.7","0.2","1.0"
"Dodgers","98","253","13","40","39","0","8.3 %","24.5 %",".240",".266",".236",".303",".476",".325","102","0.0","0.5","1.2","1.0"
"Giants","95","226","9","21","21","1","7.5 %","23.9 %",".188",".313",".261",".320",".449",".324","102","-0.3","0.0","1.7","0.9"
"Indians","78","210","11","31","31","4","6.2 %","21.0 %",".251",".264",".251",".297",".503",".327","99","0.6","0.4","1.1","0.9"
"Phillies","89","246","8","26","24","5","9.8 %","20.7 %",".155",".280",".241",".321",".395",".306","87","0.9","-3.6","3.3","0.7"
"Pirates","88","227","9","33","33","8","9.3 %","18.5 %",".177",".276",".251",".327",".429",".323","100","0.9","0.4","-0.5","0.7"
"Cubs","89","224","5","20","18","2","9.4 %","21.0 %",".139",".313",".258",".336",".397",".315","94","-0.3","-2.2","1.8","0.7"
"Reds","104","263","8","35","33","6","8.7 %","19.4 %",".143",".308",".265",".341",".409",".322","93","-0.7","-3.4","1.7","0.7"
"Tigers","87","241","6","29","25","4","9.5 %","20.7 %",".153",".296",".247",".325",".400",".312","92","0.8","-1.6","-2.1","0.5"
"Red Sox","100","265","12","26","26","1","7.5 %","24.2 %",".189",".274",".239",".298",".428",".307","86","-0.3","-5.3","-0.2","0.4"
"Cardinals","70","182","4","15","13","6","4.4 %","27.5 %",".118",".333",".253",".293",".371",".284","75","1.6","-4.6","0.5","0.2"
"Mariners","68","190","6","18","18","7","11.1 %","28.4 %",".156",".243",".192",".289",".347",".278","74","1.9","-4.4","-1.2","0.1"
"Orioles","89","229","5","25","24","4","10.5 %","22.3 %",".113",".286",".232",".319",".345",".293","79","1.1","-5.3","-2.5","0.0"
"Marlins","92","227","6","29","28","3","6.6 %","23.3 %",".157",".270",".225",".288",".382",".281","74","-0.7","-8.7","1.2","0.0"
"Angels","84","214","5","16","16","1","8.4 %","23.8 %",".130",".261",".212",".285",".342",".273","69","-0.6","-9.1","-0.1","-0.2"
"Brewers","91","221","5","14","12","3","5.0 %","28.1 %",".111",".303",".231",".271",".341",".263","58","0.2","-12.3","1.5","-0.4"
"Royals","82","215","5","18","15","1","6.0 %","19.1 %",".131",".235",".206",".262",".337",".258","54","-1.1","-13.7","-1.1","-0.7"
"White Sox","93","243","5","20","19","2","5.8 %","31.3 %",".107",".283",".205",".253",".313",".240","48","0.2","-16.1","-1.1","-0.8"
