"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Diamondbacks","81","235","11","39","36","3","6.4 %","20.9 %",".249",".361",".313",".356",".562",".379","133","0.2","10.3","3.2","2.1"
"Dodgers","91","236","10","42","39","0","12.3 %","17.4 %",".250",".311",".291",".375",".541",".374","135","-0.2","10.5","2.2","2.0"
"Yankees","85","232","16","34","33","3","10.3 %","22.0 %",".286",".277",".266",".353",".552",".374","135","-0.4","10.0","-0.7","1.7"
"Mariners","68","199","12","37","37","7","10.6 %","21.1 %",".259",".314",".287",".369",".546",".381","143","1.3","12.3","-3.4","1.5"
"Brewers","81","237","10","34","34","5","12.2 %","23.2 %",".198",".324",".272",".363",".470",".348","114","0.8","5.0","3.1","1.5"
"Astros","79","232","7","24","24","4","10.8 %","17.2 %",".167",".335",".296",".372",".463",".354","124","-0.6","6.6","0.3","1.5"
"Braves","85","234","8","33","30","1","14.5 %","19.7 %",".180",".317",".273",".384",".454",".354","117","0.0","4.9","1.9","1.4"
"Cubs","95","243","11","34","33","3","11.1 %","22.6 %",".184",".313",".269",".358",".453",".347","113","-0.2","4.0","1.3","1.3"
"Mets","97","236","10","34","33","2","6.8 %","28.8 %",".203",".336",".259",".335",".462",".335","112","-1.0","2.4","0.5","1.0"
"Phillies","78","201","4","30","28","1","13.4 %","19.9 %",".158",".326",".269",".368",".427",".332","105","0.4","1.6","2.0","1.0"
"Padres","90","228","10","24","24","3","11.8 %","24.1 %",".201",".265",".231",".320",".432",".319","98","0.7","0.0","1.7","0.9"
"Nationals","81","198","8","32","29","3","15.2 %","26.8 %",".185",".301",".241",".362",".426",".339","105","0.1","1.2","1.2","0.9"
"Twins","76","202","6","23","22","2","8.4 %","18.8 %",".162",".309",".268",".347",".430",".331","105","-0.3","0.9","0.0","0.8"
"Athletics","101","257","10","28","28","4","8.9 %","17.9 %",".170",".253",".235",".315",".404",".308","94","0.0","-2.1","0.2","0.7"
"Pirates","96","234","5","26","26","5","9.0 %","19.7 %",".170",".308",".257",".333",".427",".318","96","0.5","-1.1","0.3","0.7"
"Rays","90","240","5","23","21","6","9.6 %","23.3 %",".117",".312",".249",".325",".366",".299","88","1.3","-2.5","0.5","0.6"
"Angels","88","221","8","23","23","3","9.5 %","16.7 %",".154",".247",".231",".321",".385",".302","92","-0.2","-2.3","0.5","0.6"
"Cardinals","83","202","6","22","20","1","10.9 %","23.8 %",".172",".262",".218",".313",".391",".303","89","-0.6","-3.7","2.0","0.5"
"White Sox","76","199","6","28","26","2","8.5 %","24.6 %",".162",".315",".251",".323",".413",".316","98","0.3","-0.3","-2.2","0.4"
"Marlins","91","220","6","19","19","1","6.8 %","21.8 %",".134",".297",".248",".306",".381",".296","84","-0.7","-5.5","-0.2","0.1"
"Royals","75","184","7","19","18","5","5.4 %","22.8 %",".181",".266",".234",".277",".415",".289","77","-0.5","-6.1","0.6","0.1"
"Rangers","91","248","7","26","26","4","8.5 %","28.2 %",".155",".294",".223",".308",".377",".297","74","0.2","-8.0","-0.9","0.0"
"Giants","90","213","5","20","20","2","4.7 %","22.5 %",".121",".274",".227",".274",".348",".267","65","0.2","-9.9","2.8","0.0"
"Tigers","80","217","2","21","18","4","12.9 %","22.6 %",".124",".257",".200",".309",".324",".281","71","0.2","-7.8","-1.7","-0.2"
"Red Sox","95","256","5","22","22","4","8.2 %","21.9 %",".117",".281",".229",".295",".346",".274","63","0.2","-12.1","0.4","-0.3"
"Indians","88","209","3","25","22","4","10.0 %","27.8 %",".108",".278",".205",".284",".314",".258","53","0.8","-11.7","0.5","-0.4"
"Orioles","89","224","5","22","17","1","7.1 %","25.4 %",".124",".284",".224",".295",".348",".277","67","-0.5","-9.8","-2.0","-0.4"
"Blue Jays","96","245","7","17","16","0","9.0 %","31.0 %",".160",".248",".187",".269",".347",".265","62","-0.7","-12.7","-1.4","-0.5"
"Rockies","92","221","5","16","16","0","9.0 %","27.1 %",".123",".256",".200",".281",".323",".264","45","-0.9","-17.1","-0.1","-1.0"
"Reds","114","247","6","16","16","1","6.9 %","27.1 %",".123",".213",".171",".235",".294",".227","33","-1.5","-23.7","0.8","-1.5"
