"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Astros","93","270","14","40","39","1","11.5 %","17.0 %",".235",".271",".265",".349",".500",".355","126","-1.3","7.5","0.1","1.7"
"Cardinals","93","228","6","35","35","4","9.2 %","14.9 %",".129",".352",".313",".388",".443",".355","121","0.4","6.6","2.0","1.6"
"Rangers","98","293","11","43","42","5","10.2 %","23.5 %",".216",".343",".282",".361",".498",".359","116","1.3","7.1","-1.6","1.5"
"Braves","84","243","8","31","30","3","7.8 %","18.5 %",".193",".341",".298",".360",".491",".356","118","0.8","6.4","1.3","1.5"
"Tigers","90","235","9","33","33","2","10.6 %","27.2 %",".221",".380",".293",".366",".514",".368","130","-1.3","7.6","-1.9","1.4"
"Angels","109","283","13","41","40","3","11.3 %","14.8 %",".215",".245",".244",".337",".459",".334","111","-0.6","3.3","0.4","1.3"
"Rockies","87","233","10","40","38","2","8.2 %","21.0 %",".266",".336",".290",".354",".556",".373","115","0.3","4.4","0.8","1.2"
"Yankees","101","303","8","42","39","11","9.9 %","22.8 %",".152",".328",".266",".344",".418",".325","101","2.1","2.3","-0.5","1.2"
"Diamondbacks","95","266","7","40","39","2","7.5 %","19.2 %",".199",".303",".261",".321",".461",".327","100","0.7","0.4","3.3","1.2"
"Cubs","86","219","10","29","28","1","9.6 %","21.9 %",".244",".281",".249",".338",".492",".344","113","-0.4","3.1","1.3","1.1"
"Royals","84","229","8","31","29","4","8.7 %","25.8 %",".204",".340",".272",".336",".476",".337","109","-0.7","1.8","1.4","1.1"
"White Sox","73","201","6","31","29","4","7.0 %","22.9 %",".167",".381",".306",".358",".473",".351","121","0.3","5.8","-1.8","1.1"
"Brewers","93","229","12","33","32","7","10.5 %","30.6 %",".219",".277",".224",".319",".443",".319","96","0.8","-0.9","2.9","0.9"
"Red Sox","92","241","6","29","29","4","14.9 %","20.3 %",".146",".299",".247",".372",".394",".334","103","-0.8","0.2","0.1","0.9"
"Twins","82","223","14","33","32","2","6.3 %","17.5 %",".254",".240",".249",".300",".502",".331","105","-0.4","1.1","-0.8","0.8"
"Athletics","88","227","5","30","26","2","11.9 %","18.5 %",".138",".285",".246",".339",".385",".314","98","-0.3","-0.9","0.2","0.7"
"Mets","91","231","9","26","24","2","8.7 %","24.7 %",".161",".300",".249",".329",".410",".315","98","-1.1","-1.9","1.2","0.7"
"Reds","91","224","9","30","30","0","11.6 %","25.0 %",".169",".315",".259",".347",".429",".330","98","-1.7","-2.4","1.5","0.6"
"Dodgers","85","220","7","25","24","2","10.9 %","27.3 %",".163",".280",".221",".312",".384",".300","86","0.0","-4.1","2.1","0.5"
"Rays","75","186","5","18","18","1","11.3 %","28.5 %",".155",".286",".217",".312",".373",".296","86","0.2","-3.1","0.7","0.4"
"Nationals","85","231","9","27","27","7","8.7 %","26.8 %",".176",".287",".234",".306",".410",".304","84","1.0","-4.2","0.8","0.4"
"Phillies","101","258","9","25","24","0","9.3 %","25.2 %",".186",".257",".212",".296",".398",".296","79","0.1","-7.2","2.8","0.4"
"Giants","67","189","8","21","21","1","8.5 %","19.0 %",".192",".248",".233",".296",".424",".302","88","-0.7","-3.8","1.6","0.4"
"Indians","90","229","9","23","21","4","8.7 %","25.8 %",".153",".265",".222",".300",".374",".289","74","1.1","-6.6","1.4","0.3"
"Blue Jays","70","185","5","22","21","3","6.5 %","22.7 %",".149",".317",".262",".308",".411",".304","88","0.3","-2.6","-1.2","0.3"
"Mariners","85","232","6","29","29","3","12.1 %","25.4 %",".152",".267",".213",".319",".365",".299","88","0.4","-3.2","-3.1","0.2"
"Orioles","84","221","6","21","20","4","5.4 %","24.0 %",".132",".320",".259",".308",".390",".297","82","0.6","-4.6","-2.1","0.1"
"Padres","72","170","8","23","21","1","4.1 %","28.8 %",".195",".260",".220",".254",".415",".278","70","-0.5","-7.3","1.5","0.0"
"Marlins","89","224","4","17","17","1","6.3 %","22.8 %",".098",".309",".250",".297",".348",".278","72","-1.0","-9.3","1.5","-0.1"
"Pirates","101","249","4","12","11","0","6.4 %","23.7 %",".116",".266",".211",".262",".328",".253","53","0.1","-15.3","-1.5","-0.9"
